family_name,subtype,sequence_count
Alcidae,H5N1,110
Alcidae,H1N2,22
Alcidae,H11N9,4
Alcidae,H12N5,2
Alcidae,H1N6,2
Alcidae,H5N9,2
Alcidae,H6N1,2
Alcidae,H9N2,2
Alcidae,H10N2,1
Alcidae,H10N3,1
Alcidae,H10N4,1
Alcidae,H10N7,1
Alcidae,H11N2,1
Alcidae,H13N8,1
Alcidae,H1N1,1
Alcidae,H1N9,1
Alcidae,H2N6,1
Alcidae,H5N2,1
Alcidae,H6N2,1
Alcidae,H9N5,1
Fregatidae,H5N1,1
Laridae,H5N1,2627
Laridae,H13N6,345
Laridae,H16N3,331
Laridae,H5N5,176
Laridae,H13N8,133
Laridae,H13N2,118
Laridae,H5N8,86
Laridae,H13N9,28
Laridae,H5N6,24
Laridae,H2N5,17
Laridae,H3N8,16
Laridae,H5N3,16
Laridae,H10N7,15
Laridae,H6N1,15
Laridae,H11N1,14
Laridae,H4N4,14
Laridae,H7N3,14
Laridae,H11N9,13
Laridae,H6N8,12
Laridae,H13N3,11
Laridae,H1N1,10
Laridae,H1N3,7
Laridae,H2N7,7
Laridae,H4N6,7
Laridae,H5N2,7
Laridae,H6N2,7
Laridae,H11N2,6
Laridae,H13N1,6
Laridae,H2N9,6
Laridae,H7N2,6
Laridae,H9N1,6
Laridae,H2N8,5
Laridae,H4N8,5
Laridae,H5N4,5
Laridae,H6N4,5
Laridae,H9N2,5
Laridae,H9N3,5
Laridae,H9N7,5
Laridae,H3N6,4
Laridae,H10N4,3
Laridae,H10N8,3
Laridae,H11N6,3
Laridae,H1N2,3
Laridae,H6N3,3
Laridae,H7N7,3
Laridae,H9N5,3
Laridae,H10N1,2
Laridae,H10N2,2
Laridae,H10N5,2
Laridae,H11N8,2
Laridae,H12N4,2
Laridae,H12N5,2
Laridae,H16N6,2
Laridae,H1N9,2
Laridae,H2N1,2
Laridae,H2N3,2
Laridae,H3N3,2
Laridae,H5N9,2
Laridae,H7N8,2
Laridae,H9N9,2
Laridae,H11N4,1
Laridae,H12N6,1
Laridae,H13N7,1
Laridae,H14N5,1
Laridae,H15N9,1
Laridae,H16N8,1
Laridae,H16N9,1
Laridae,H1N5,1
Laridae,H1N8,1
Laridae,H2N2,1
Laridae,H4N5,1
Laridae,H4N7,1
Laridae,H4N9,1
Laridae,H8N4,1
Laridae,H9N4,1
Laridae,H9N8,1
Phalacrocoracidae,H5N1,142
Phalacrocoracidae,H5N8,10
Phalacrocoracidae,H5N6,3
Phalacrocoracidae,H1N1,2
Phalacrocoracidae,H4N6,2
Phalacrocoracidae,H5N5,2
Phalacrocoracidae,H16N3,1
Phalacrocoracidae,H3N6,1
Phalacrocoracidae,H3N8,1
Procellariidae,H5N1,36
Procellariidae,H5N5,27
Procellariidae,H6N5,9
Procellariidae,H15N9,7
Procellariidae,H3N8,3
Procellariidae,H5N3,3
Procellariidae,H10N8,1
Procellariidae,H4N7,1
Spheniscidae,H5N1,39
Spheniscidae,H5N8,14
Spheniscidae,H11N2,12
Spheniscidae,H5N5,2
Spheniscidae,H6N8,1
Stercorariidae,H5N1,171
Stercorariidae,H5N5,11
Stercorariidae,H6N8,1
Sulidae,H5N1,228
Sulidae,H5N5,4
