Family.name,Family,Subfamily,Tribe,Common.name,Scientific.name,Movement,X2024.IUCN.Red.List.category,if_fao,if_new_infect,if_birdlife_breeding,if_birdlife_nonbreeding,X1,X2,X3,X4,X5,X6.1,X7,X8,X9,X10,X11,X12.,if_movebank,if_birdlife_std,low_season,Flyways,Current.population.trend,Family2,Order2,Avibase.ID2,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Spheniscidae,Penguins,NA,NA,King Penguin,Aptenodytes patagonicus,Pelagic,LC,1,n,TRUE,TRUE,1,1,1,2,0,0,0,0,2,1,1,1,1,1,0,,NA,Spheniscidae,Sphenisciformes,AVIBASE-827A77C7,-54.89,-45.97,-51.39,-14.56060829,24905.39,Extant,5,2,3,0,4,105.6,65.7,11,17.8,52.2,167.2,6.2,161.1,3.7,63.8,11731.1,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Spheniscidae,Penguins,NA,NA,Emperor Penguin,Aptenodytes forsteri,Pelagic,NT,0,NA,TRUE,TRUE,1,1,2,0,0,0,0,0,0,2,1,1,1,0,0,,NA,Spheniscidae,Sphenisciformes,AVIBASE-58848B71,-78.26,-65.12,-71.04,50.53153141,83236.83,Extant,5,2,2,1,4,94.2,53.5,13.9,17.7,47.2,179.4,6.7,175.1,3.7,117.5,33569.3,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Spheniscidae,Penguins,NA,NA,Gentoo Penguin,Pygoscelis papua,Pelagic,LC,1,n,TRUE,TRUE,0,0,0,0,0,2,1,1,1,1,1,2,0,1,0,,NA,Spheniscidae,Sphenisciformes,AVIBASE-F2B3BF2A,-64.78,-45.97,-54.31,-25.59823906,31443.71,Extant,4,2,2,0,4,64.8,37.8,12.4,17,33,126.1,6.2,119.8,5,122.8,5933,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Spheniscidae,Penguins,NA,NA,Adelie Penguin,Pygoscelis adeliae,Pelagic,LC,0,NA,TRUE,TRUE,1,1,2,0,0,0,0,0,2,1,1,1,1,1,0,,NA,Spheniscidae,Sphenisciformes,AVIBASE-4A947BE7,-78.19,-54.4,-70.24,99.2760525,148210.8,Extant,5,3,2,0,4,59.7,24.2,12.9,17.2,32.5,94.5,7.2,89.5,7.4,139,4847.7,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Spheniscidae,Penguins,NA,NA,Chinstrap Penguin,Pygoscelis antarcticus,Pelagic,LC,1,o,TRUE,TRUE,2,0,0,2,1,1,2,0,0,0,2,1,0,1,0,,NA,Spheniscidae,Sphenisciformes,AVIBASE-75B943A3,-68.89,-53.97,-61.33,-39.88990174,12591.58,Extant,8,4,4,0,4,61.8,34,14.8,19.2,27,100.5,4.8,95.7,4.8,138,4146.1,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Spheniscidae,Penguins,NA,NA,Royal Penguin,Eudyptes schlegeli,Pelagic,LC,0,NA,TRUE,TRUE,1,2,0,0,0,0,0,0,2,1,1,1,0,0,0,,NA,Spheniscidae,Sphenisciformes,AVIBASE-01A11B3A,-54.78,-54.49,-54.63,158.8823081,127.71,Extant,4,0,4,0,4,70.7,43.9,16.4,26.9,29.7,121,6.3,114.7,5.2,95.2,4242.6,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Spheniscidae,Penguins,NA,NA,Macaroni Penguin,Eudyptes chrysolophus,Pelagic,VU,0,NA,TRUE,TRUE,1,2,2,0,0,0,0,0,2,2,2,1,0,1,0,,NA,Spheniscidae,Sphenisciformes,AVIBASE-2C2BC004,-64.84,-45.97,-54.32,-39.69406611,48864.72,Extant,5,0,2,3,4,60.8,34.1,16.2,23.9,35.1,116.5,6.7,109.8,5.8,103.2,4485.1,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Spheniscidae,Penguins,NA,NA,Northern Rockhopper Penguin,Eudyptes moseleyi,Pelagic,EN,0,NA,TRUE,TRUE,1,1,1,1,2,0,0,0,2,1,1,1,0,1,0,,NA,Spheniscidae,Sphenisciformes,AVIBASE-8722DFC2,-40.37,-37.06,-38.2,11.1836547,248.71,Extant,5,2,3,0,4,53.4,30.4,14,20.4,34.8,102.2,5.7,96.6,5.5,62.4,2327.9,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Spheniscidae,Penguins,NA,NA,Southern Rockhopper Penguin,Eudyptes chrysocome,Pelagic,VU,1,n,TRUE,TRUE,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,,NA,Spheniscidae,Sphenisciformes,AVIBASE-4023CC81,-55.98,-45.97,-52.52,-31.49319228,35718.74,Extant,10,1,5,4,8,49.9,26.8,13.4,21.3,25.7,97.9,6.3,91.6,6.5,87.4,2327.9,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Spheniscidae,Penguins,NA,NA,Erect-crested Penguin,Eudyptes sclateri,Pelagic,EN,0,NA,TRUE,TRUE,1,1,1,2,0,0,0,0,2,1,1,1,0,1,0,,NA,Spheniscidae,Sphenisciformes,AVIBASE-3B58C04E,-49.72,-47.69,-49.61,178.8120573,23.43,Extant,4,0,0,4,2,66.2,37.8,17.6,27.2,29.4,111.3,6.6,104.8,5.9,94,5889,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
